project_id,Sensors_cnt,Sensors_A_cnt,Sensors_B_cnt,Sensors_C_cnt,project_name,seeding_date,zan,flower_per_m,du_gidul,kav_noa,area,ET_station,sensor_type
2904,6,5,1,0,Yavne 53 A Cotton 2015,3/16/2015,99,6/6/2015,0,0,darom,beit_dagan,regular
2905,3,3,0,0,Yavne du-gidul 48 Cotton 2015,3/27/2015,99,6/16/2015,1,0,darom,beit_dagan,regular
2906,3,3,0,0,Yavne 64 Cotton 2015,3/15/2015,4,6/14/2015,0,0,darom,beit_dagan,regular
2907,3,3,0,0,Yavne 3PS Cotton 2015,3/19/2015,5,6/14/2015,0,0,darom,beit_dagan,regular
2908,3,3,0,0,Yavne du-gidul 8PS Cotton 2015,3/27/2015,4,6/20/2015,1,0,darom,beit_dagan,regular
2912,3,3,0,0,Naan Mata Cotton 2015,3/15/2015,4,6/14/2015,0,0,darom,beit_dagan,regular
2914,3,2,0,1,Naan du-gidul Zain kavnoa maarav Cotton 2015,4/20/2015,99,6/30/2015,1,1,darom,beit_dagan,regular
2915,4,3,1,0,Naan Meshulash darom Cotton 2015,3/18/2015,4,1/1/2015,0,0,darom,beit_dagan,regular
2915,4,3,1,0,Naan Meshulash darom Cotton 2015,3/18/2015,4,6/14/2015,0,0,darom,beit_dagan,regular
2919,3,3,0,0,Yarkon Avocado Cotton 2015,1/1/2015,0,6/2/2015,0,0,emek_hefer,beit_dagan,regular
2922,3,3,0,0,Reshafim Radra Cotton 2015,3/10/2015,9,6/1/2015,0,0,emek_yizrael,nir_haemek,regular
2930,3,3,0,0,Tzabar kama 32 Cotton 2015,3/16/2015,9,1/1/2015,0,0,darom,nahshon,regular
2931,3,3,0,0,Tzabar kama 59 Cotton 2015,3/16/2015,4,1/1/2015,0,0,darom,nahshon,regular
2932,3,3,0,0,Tzabar kama du-gidul 62 Cotton 2015,4/1/2015,9,1/1/2015,1,0,darom,nahshon,regular
2933,3,3,0,0,Tzabar kama 3 Cotton 2015,3/17/2015,5,1/1/2015,0,0,darom,nahshon,regular
2936,2,2,0,0,Megido 201 maarav Cotton 2015,3/22/2015,4,6/15/2015,0,0,emek_yizrael,nir_haemek,regular
2937,3,2,1,0,Megido 201 mizrah Cotton 2015,3/22/2015,4,6/15/2015,0,0,emek_yizrael,nir_haemek,regular
2938,2,2,0,0,Megido PS 202 gilboa maarav Cotton 2015,4/21/2015,4,7/15/2015,0,0,emek_yizrael,nir_haemek,regular
2939,2,2,0,0,Megido PS 202 gilboa mizrah Cotton 2015,4/21/2015,4,7/15/2015,0,0,emek_yizrael,nir_haemek,regular
2940,2,2,0,0,Megido 209 schachot mizrah Cotton 2015,3/22/2015,9,6/21/2015,0,0,emek_yizrael,nir_haemek,regular
2941,2,2,0,0,Megido 209 schachot maarav Cotton 2015,3/22/2015,9,6/21/2015,0,0,emek_yizrael,nir_haemek,regular
2942,4,3,1,0,Megido 103 tzafon Cotton 2015,1/1/2015,0,1/1/2015,0,0,emek_yizrael,nir_haemek,regular
2942,4,3,1,0,Megido 103 tzafon Cotton 2015,3/20/2015,5,6/20/2015,0,0,emek_yizrael,nir_haemek,regular
2943,2,2,0,0,Megido 103 darom Cotton 2015,3/20/2015,5,6/20/2015,0,0,emek_yizrael,nir_haemek,regular
2944,2,2,0,0,Megido 115 mizrah Cotton 2015,3/20/2015,5,6/16/2015,0,0,emek_yizrael,nir_haemek,regular
2945,2,2,0,0,Megido 115 maarav Cotton 2015,3/20/2015,5,6/16/2015,0,0,emek_yizrael,nir_haemek,regular
2946,3,3,0,0,Regev 53 Cotton 2015,3/8/2015,5,6/11/2015,0,0,galil_maaravi,akko,regular
2953,4,3,0,1,Hulata Muvlaat mizrah Cotton 2015,3/10/2015,5,1/1/2015,0,0,galil_elion,kfar_blum,regular
2953,4,3,0,1,Hulata Muvlaat mizrah Cotton 2015,1/1/2015,0,1/1/2015,0,0,galil_elion,kfar_blum,regular
2965,3,3,0,0,Agridera Kvish 7 Cotton 2015,1/1/2015,0,6/18/2015,0,0,darom,nahshon,regular
2966,3,3,0,0,Agridera 1 - 2 Cotton 2015,1/1/2015,0,6/18/2015,0,0,darom,nahshon,regular
2967,3,2,1,0,Hanegev Beeri gimel mizrah Cotton 2015,3/16/2015,4,1/1/2015,0,0,darom,dorot,regular
2968,3,3,0,0,Hanegev Beeri gimel maarav Cotton 2015,3/16/2015,4,1/1/2015,0,0,darom,dorot,regular
2969,3,3,0,0,Hanegev Tal or yud mizrah Cotton 2015,3/13/2015,5,6/14/2015,0,0,darom,dorot,regular
2970,3,3,0,0,Hanegev Agavot het tzafon Cotton 2015,3/19/2015,5,6/14/2015,0,0,darom,dorot,regular
2971,3,3,0,0,Hanegev Agavot het darom Cotton 2015,3/19/2015,5,6/14/2015,0,0,darom,dorot,regular
2972,3,3,0,0,Hanegev Azata bet 1 Cotton 2015,3/17/2015,4,6/11/2015,0,0,darom,dorot,regular
2973,3,3,0,0,Hanegev Azata bet 2 Cotton 2015,3/17/2015,4,6/11/2015,0,0,darom,dorot,regular
2974,3,3,0,0,Hanegev Sde teiman hei tzafon Cotton 2015,3/23/2015,9,1/1/2015,0,0,darom,dorot,regular
2975,3,3,0,0,Hanegev Sde teiman hei darom Cotton 2015,3/23/2015,9,1/1/2015,0,0,darom,dorot,regular
2976,1,1,0,0,Nir galim 14 maarav zakhar Cotton 2015,1/1/2015,0,6/14/2015,0,0,darom,beit_dagan,regular
2977,1,1,0,0,Nir galim 2 zakhar Cotton 2015,1/1/2015,0,6/7/2015,0,0,darom,beit_dagan,regular
2978,1,1,0,0,Nir galim 14 mizrah zakhar Cotton 2015,1/1/2015,0,6/7/2015,0,0,darom,beit_dagan,regular
2979,1,1,0,0,Nir galim 17 tzafon zakhar Cotton 2015,1/1/2015,0,6/21/2015,0,0,darom,beit_dagan,regular
2980,3,3,0,0,Nir galim 17 merkaz nekeva Cotton 2015,1/1/2015,0,6/21/2015,0,0,darom,beit_dagan,regular
2981,3,3,0,0,Nir galim 102 zakhar Cotton 2015,1/1/2015,0,6/19/2015,0,0,darom,beit_dagan,regular
2982,3,3,0,0,Nir galim 102 nekeva Cotton 2015,1/1/2015,0,6/19/2015,0,0,darom,beit_dagan,regular
2983,3,3,0,0,Nir galim 8 zakhar Cotton 2015,1/1/2015,0,6/18/2015,0,0,darom,beit_dagan,regular
2984,3,2,1,0,Naan du-gidul Zain kavnoa mizrah Cotton 2015,4/20/2015,99,6/30/2015,1,1,darom,beit_dagan,regular
2985,3,3,0,0,Naan Meshulash tzafon Cotton 2015,3/18/2015,4,6/14/2015,0,0,darom,beit_dagan,regular
2990,3,3,0,0,Geva Komi merkaz Cotton 2015,3/15/2015,4,6/9/2015,0,0,emek_yizrael,nir_haemek,regular
2991,3,0,3,0,Geva Komi mizrah Cotton 2015,3/15/2015,4,6/9/2015,0,0,emek_yizrael,nir_haemek,regular
