sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
24954,2815,24949,0,0,0,2,0,89,0,16,2,A
24958,2936,24955,0,0,0,2,0,85,0,19,3,A
24960,2936,24955,17,0,0,3,16,68,0,19,20,A
24964,2937,24961,0,0,0,0,1,53,1,51,2,A
24966,2937,24961,0,0,0,2,1,54,0,51,2,A
24970,2938,24967,1,0,0,5,0,82,0,19,6,A
24972,2938,24967,0,0,6,4,0,83,0,19,5,A
24976,2939,24973,2,4,8,4,0,79,0,19,9,A
24978,2939,24973,0,0,0,3,0,84,0,19,4,A
24982,2940,24979,0,1,5,2,0,86,0,19,2,A
24984,2940,24979,0,0,0,2,0,84,2,19,2,A
24988,2941,24985,0,0,0,2,0,84,0,20,3,A
24990,2941,24985,0,0,0,3,0,84,0,19,4,A
24994,2942,24991,0,0,0,2,0,86,0,19,2,A
24996,2942,24991,0,0,0,1,0,86,0,19,2,A
25000,2943,24997,0,0,0,0,0,85,0,19,3,A
25002,2943,24997,0,0,0,2,0,84,1,19,3,A
25006,2944,25003,0,0,0,1,0,86,1,19,1,A
25008,2944,25003,0,0,0,2,0,85,0,19,3,A
25012,2945,25009,0,0,0,0,0,86,0,19,2,A
25014,2945,25009,0,0,0,0,0,88,0,19,0,A
25018,2823,25015,16,0,0,2,4,62,0,27,18,A
25020,2823,25015,5,1,1,2,5,72,0,27,8,A
25024,3021,25021,1,0,0,7,0,88,0,12,7,A
25026,3021,25021,0,8,8,5,0,84,0,12,11,A
25036,2825,25033,1,0,0,2,0,79,0,26,2,A
25038,2825,25033,0,0,0,2,0,78,1,25,3,A
25042,3384,25039,21,0,0,7,7,56,0,29,22,A
25044,3384,25039,5,0,0,13,1,58,0,32,17,A
25048,2827,25045,3,0,0,2,1,49,1,51,6,A
25050,2827,25045,3,0,0,4,2,47,1,51,8,B
25054,2814,25051,0,0,0,1,0,88,0,16,3,A
25056,2814,25051,0,0,0,1,0,88,0,16,3,A
25060,2813,25057,0,0,0,2,0,70,0,34,3,A
25062,2813,25057,0,0,0,1,0,71,0,34,2,A
25066,2812,25063,4,0,0,3,2,85,1,16,5,A
25068,2812,25063,0,0,0,2,0,89,0,16,2,A
25072,2811,25069,0,33,34,51,0,38,0,16,53,B
25074,2811,25069,0,0,0,1,0,90,0,16,1,A
25083,2879,25081,0,0,0,2,0,104,0,0,3,A
25084,2879,25081,0,0,0,2,0,104,0,0,3,A
25086,2879,25081,8,0,0,3,6,89,0,0,18,A
25089,2878,25087,0,0,0,3,0,100,1,1,5,A
25090,2878,25087,0,0,0,2,0,102,1,0,4,A
25092,2878,25087,1,1,1,3,0,102,1,0,4,A
25095,2885,25093,0,2,4,3,0,93,0,9,5,A
25096,2885,25093,0,0,0,4,0,93,0,9,5,A
25098,2885,25093,0,0,2,3,0,95,0,9,3,A
25101,2884,25099,1,0,0,4,0,94,0,9,4,A
25102,2884,25099,1,0,0,3,0,95,0,9,3,A
25104,2884,25099,1,0,0,3,0,94,0,9,4,A
25107,2883,25105,0,0,2,4,0,93,1,9,4,A
25108,2883,25105,0,5,8,5,0,87,1,10,9,A
25110,2883,25105,0,4,7,3,2,91,1,9,6,A
25113,2882,25111,0,10,11,4,0,85,0,9,13,A
25114,2882,25111,0,5,6,3,0,91,0,9,7,A
25116,2882,25111,0,3,4,3,0,93,0,9,5,A
25119,2875,25117,0,0,0,2,0,94,0,11,2,A
25120,2875,25117,0,10,12,2,0,85,0,11,11,A
25122,2875,25117,0,0,0,2,0,93,0,11,3,A
25125,2876,25123,0,0,0,2,0,103,0,0,4,A
25126,2876,25123,1,0,0,2,0,103,0,0,4,A
25128,2876,25123,4,0,0,3,0,100,0,0,7,A
25131,2874,25129,0,11,14,3,0,85,0,10,12,A
25132,2874,25129,0,0,0,4,0,93,0,10,4,A
25134,2874,25129,0,0,0,2,0,93,2,10,2,A
25137,2873,25135,0,11,13,3,0,83,1,10,13,A
25138,2873,25135,3,0,0,3,0,90,0,10,7,A
25140,2873,25135,0,0,0,3,0,94,0,10,3,A
25158,2881,25156,0,0,0,3,0,76,2,23,6,A
25159,2881,25156,0,0,0,1,0,79,1,23,4,A
25161,2881,25156,0,6,8,3,0,73,1,23,10,A
25164,2880,25162,16,0,0,15,2,75,0,11,21,A
25165,2880,25162,1,0,0,4,0,91,0,11,5,A
25167,2880,25162,1,0,0,3,0,93,0,11,3,A
25170,2841,25168,0,0,0,0,0,89,0,18,0,A
25171,2841,25168,0,0,0,0,0,88,1,18,0,A
25173,2841,25168,0,0,0,0,0,88,1,18,0,A
25176,2838,25174,0,0,0,1,0,103,0,3,1,A
25177,2838,25174,0,0,0,1,0,103,0,3,1,A
