datetime,nds_wt_PC1,nds_wt_PC2,nds_wt_PC3,nds_wt_PC4,nds_wt_PC5,nds_wt_PC6,nds_wt_PC7,nds_wt_PC8,nds_wt_PC9,nds_wt_PC10,nd_wt_PC1,nd_wt_PC2,nd_wt_PC3,nd_wt_PC4,nd_wt_PC5,nd_wt_PC6,nd_wt_PC7,nd_wt_PC8,nd_wt_PC9,nd_wt_PC10,nd_PC1,nd_PC2,nd_PC3,nd_PC4,nd_PC5,nd_PC6,nd_PC7,nd_PC8,nd_PC9,nd_PC10,nw_PC1,nw_PC2,nw_PC3,nw_PC4,nw_PC5,nw_PC6,nw_PC7,nw_PC8,nw_PC9,nw_PC10
7/13/2015 10:00,0.107015168,-0.085600945,0.152667053,0.096304129,0.144587556,-0.056123396,0.051046164,-0.120485619,-0.126698857,0.040640133,0.022666763,-0.125383414,0.044419982,-0.006810621,-0.056609948,-0.039064959,-0.089569718,-0.11039621,-0.093520678,0.135663839,0.02809652,-0.040087456,0.059186041,0.076594026,-0.104157379,0.003016546,0.053149771,-0.035131689,-0.010460253,0.087079375,0.027247897,0.053335984,-0.093336355,0.007372802,0.101511654,0.061086322,-0.036615311,-0.01440244,-0.001322663,0.106224336
7/13/2015 11:00,0.119902359,-0.084403592,0.144978571,0.079710107,0.157918767,-0.02321788,0.104946101,-0.122657234,-0.144300713,0.047708653,0.048230298,-0.124065379,0.106069425,0.000797135,-0.053528908,-0.065467893,-0.029653806,-0.12785915,-0.11566641,0.142865285,0.046922426,-0.072540962,0.037869931,0.089501981,-0.103908787,-0.005816329,0.1023054,-0.038610686,-0.027394715,0.034959238,0.028297804,0.086829492,-0.098160641,0.016586489,0.106001437,0.062871336,-0.027933644,0.005902612,0.065036408,0.046049599
7/13/2015 12:00,0.128027486,-0.063060233,0.144095984,0.057059744,0.128776735,0.025708085,0.155384744,-0.151836018,-0.0892778,0.006423659,0.079483625,-0.111208735,0.160427486,0.020597239,-0.060451387,-0.069552029,0.037185895,-0.14293015,-0.166157216,0.113027691,0.070966133,-0.107570251,0.010809187,0.09910044,-0.09822629,0.002393422,0.143742678,-0.051689462,-0.048956245,0.012341191,0.030032354,0.126386984,-0.100808619,0.02836113,0.097468059,0.064556074,-0.02237318,0.004417067,0.129409541,0.013377097
7/13/2015 13:00,0.138812403,-0.034621141,0.125456902,0.053067976,0.103605405,0.084601553,0.189148793,-0.187599264,-0.04392241,-0.084710387,0.108157064,-0.093230978,0.212478699,0.04662997,-0.052090849,-0.051594479,0.089999463,-0.155082908,-0.188361218,0.061397486,0.092872765,-0.144956797,-0.016356709,0.101872868,-0.088338205,0.004384453,0.174395591,-0.061721269,-0.050431012,0.000289162,0.031676703,0.164280353,-0.106479971,0.045653331,0.086894648,0.060581941,-0.015618985,0.00160404,0.170166681,-0.009571075
7/13/2015 14:00,0.127325132,0.009360263,0.101884483,0.037220905,0.083020925,0.086634338,0.142942549,-0.203587991,0.028595856,-0.158664669,0.123857876,-0.051852207,0.247455432,0.071459067,-0.038931402,-0.039250601,0.101250642,-0.175929763,-0.19761737,-0.017883127,0.106863254,-0.17525422,-0.027977996,0.079863963,-0.065240812,0.013942364,0.206908389,-0.081527773,-0.041440008,0.035077937,0.033413984,0.187224414,-0.111865217,0.06422553,0.062109476,0.034909009,0.00462592,-0.023532758,0.192856624,-0.04607385
7/13/2015 15:00,0.114898917,0.055988228,0.103161236,0.042363575,0.044828388,0.044906264,0.093685936,-0.194358301,0.033333114,-0.175271658,0.134423507,-0.005811742,0.265591874,0.071749148,-0.023101342,-0.030615742,0.073600853,-0.20351481,-0.168185615,-0.037879894,0.118499102,-0.192003589,-0.027464321,0.054525006,-0.033418876,0.022944953,0.228894783,-0.110509463,-0.030468577,0.07051777,0.035146618,0.20134923,-0.110052059,0.079463175,0.04480768,-0.00175477,0.018795404,-0.056651985,0.200567087,-0.086972455
7/13/2015 16:00,0.096111589,0.100033577,0.10447077,0.083704825,0.04093589,-0.009225098,0.041736078,-0.162958869,-0.008197613,-0.191936414,0.134145419,0.031948594,0.261166332,0.060690478,-0.023284978,-0.025876432,0.02942149,-0.219230103,-0.094756799,-0.00900445,0.121505484,-0.19717512,-0.016556224,0.032510517,-0.0007729,0.033413251,0.226954507,-0.121766387,-0.030928572,0.109750313,0.036288122,0.202701937,-0.110729178,0.084402384,0.028658403,-0.038495733,0.022558096,-0.087509097,0.178167863,-0.097885836
7/13/2015 17:00,0.073683023,0.114812522,0.098038895,0.107346024,0.061636276,-0.033071009,0.006623565,-0.115776499,-0.072769949,-0.151333071,0.119268859,0.061190644,0.23841983,0.045133318,-0.018852151,-0.025406057,0.000417988,-0.19707245,-0.020831069,0.037081464,0.113565927,-0.189543633,0.006844374,0.00506245,0.024434028,0.034106236,0.216624106,-0.129521474,-0.023246344,0.091118051,0.036769407,0.186570281,-0.111841099,0.085097887,0.018994215,-0.073596382,0.033425984,-0.105532324,0.147720214,-0.102298412
7/13/2015 18:00,0.045909685,0.10265539,0.049046205,0.11073658,0.060783257,-0.039134816,-0.007838499,-0.067390633,-0.122870613,-0.087825583,0.092445783,0.070547798,0.193052733,0.037182438,-0.01230403,-0.01177084,0.001894314,-0.164197114,0.030120547,0.094064397,0.097049887,-0.172348597,0.039560612,-0.019337171,0.027981718,0.041213018,0.181784259,-0.145220608,-0.032063833,0.040696528,0.037049401,0.15416865,-0.112476265,0.088765555,0.011772101,-0.08476397,0.037715561,-0.120560035,0.118775831,-0.084928354
7/13/2015 19:00,0.023134748,0.092703574,0.03026517,0.091929943,0.064747546,-0.018575604,0.001036082,-0.03661808,-0.143802043,-0.052713125,0.061220187,0.066616455,0.148923832,0.028094733,-0.002589769,-0.013354926,0.01196614,-0.11241277,0.065428174,0.104211466,0.077922624,-0.156484388,0.081297495,-0.036723394,0.02182904,0.040662431,0.149568217,-0.149662309,-0.040974632,-0.01259875,0.037613279,0.118088789,-0.119395055,0.084854272,0.009047223,-0.085937544,0.046724262,-0.123106697,0.087416624,-0.058998394
